S.No.,Local Body Code,Local Body Version,Local Body Name      (In English),Local Body Name (In Local),Local Body Type Code,Local Body Type Name,Parent Local Body Code,
11026,142542,1,KAMODWADA,?????????,3,Village Panchayat,4261,
11027,140233,3,KAMPEL,??????,3,Village Panchayat,4226,
11028,136554,1,KAMRARI,??????,3,Village Panchayat,4171,
11029,137990,2,KAMRASODHA,?????????,3,Village Panchayat,4192,
11030,143005,1,KAMTA,KAMTA,3,Village Panchayat,4269,
11031,145009,2,KAMTA,????,3,Village Panchayat,4296,
11032,150041,1,KAMTA,?????,3,Village Panchayat,4357,
11033,150226,1,KAMTA,????,3,Village Panchayat,4359,
11034,139489,1,KAMTADA,???????,3,Village Panchayat,4215,
11035,133564,1,KAMTAMAL,????????,3,Village Panchayat,4129,
11036,144853,1,KAMTANA,??????,3,Village Panchayat,4294,
11037,143596,1,KAMTARI,?????,3,Village Panchayat,4277,
11038,153302,1,KAMTHANA,,3,Village Panchayat,4398,
11039,132370,1,KAMTHI,?????,3,Village Panchayat,4110,
11040,132597,1,KAMTHI,?????,3,Village Panchayat,4113,
11041,135485,1,KAMTHI,,3,Village Panchayat,4156,
11042,135644,1,KAMTHI,KAMTHI,3,Village Panchayat,4158,
11043,135721,1,KAMTHIKALAN,KAMTHIKALAN,3,Village Panchayat,4159,
11044,139749,1,KAMTI,KAMTI,3,Village Panchayat,4219,
11045,144249,1,KAMTI,????,3,Village Panchayat,4286,
11046,144479,1,KAMTI,?????,3,Village Panchayat,4289,
11047,140062,1,KAMTIRANGPUR,KAMTIRANGPUR,3,Village Panchayat,4224,
11048,145190,1,KAMTON,??????,3,Village Panchayat,4298,
11049,145386,1,KAMTON KANSIYA,?????? ???????,3,Village Panchayat,4301,
11050,137038,4,KANABUZURG,??????????,3,Village Panchayat,4176,
11051,136765,11,KANAD,KANAD,3,Village Panchayat,4173,
11052,150382,1,KANADIKALA,KANADIKALA,3,Village Panchayat,4361,
11053,150383,1,KANADIKHURD,KANADIKHURD,3,Village Panchayat,4361,
11054,150662,1,KANADIYA,???????,3,Village Panchayat,4365,
11055,133397,1,KANAHAGAON,?????????,3,Village Panchayat,4126,
11056,132733,1,KANAI,???,3,Village Panchayat,4115,
11057,138086,1,KANAISANGWA MAL,???????? ???,3,Village Panchayat,4194,
11058,141611,1,KANA KAKAD,KANA KAKAD,3,Village Panchayat,4247,
11059,143512,1,KANAKHEDA,KANAKHEDA,3,Village Panchayat,4276,
11060,144722,1,KANAKHEDA,????????,3,Village Panchayat,4292,
11061,138929,1,KANAKHEDI,????????,3,Village Panchayat,4208,
11062,151782,1,KANAKHEDI,???????,3,Village Panchayat,4380,
11063,153429,1,KANAKHEDI EAKLASPUR,,3,Village Panchayat,4399,
11064,142095,2,KANAPUR,???????,3,Village Panchayat,4254,
11065,151145,1,KANAPUR,??????,3,Village Panchayat,4372,
11066,139490,1,KANARDA,??????,3,Village Panchayat,4215,
11067,153535,2,KANARDI,???????,3,Village Panchayat,4400,
11068,149766,1,KANARI,KANARI,3,Village Panchayat,4354,
11069,153536,1,KANASIYA,??????,3,Village Panchayat,4400,
11070,134151,1,KANATHAR,?????,3,Village Panchayat,4138,
11071,147863,1,KANAU,???,3,Village Panchayat,4331,
11072,141812,3,Kanauja,Kanauja,3,Village Panchayat,4250,
11073,147263,2,KANAUJA,?????,3,Village Panchayat,4323,
11074,144723,2,KANAVATI,??????,3,Village Panchayat,4292,
11075,133919,1,KANAWAR,KANAWAR,3,Village Panchayat,4135,
11076,131934,1,KANAWATA,KANAWATA,3,Village Panchayat,4104,
