Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name
249650,Patna,1298524,55,Patna (M Corp.) - Ward No.55
249564,Bettiah,35565,10,Bettiah (M) - Ward No.10
249653,Fatuha,1298612,22,Fatwah (M) - Ward No.22
276644,Bikarm,1298672,13,Bikram (M) - Ward No.13
249595,Katihar,1299449,41,Katihar (M Corp.) - Ward No.41
249684,Nawada,2791,25,Nawada (M) - Ward No.25
249665,Buxar,1298778,16,Buxar (M) - Ward No.16
249565,Raxaul,1298293,25,Raxaul Bazar (M) - Ward No.25
276642,Benipur,1298042,2,Benipur (M) - Ward No. 02
249627,Naugachhia,71822,19,Naugachhia (NP) - Ward No.19
249584,Supaul,35745,1,Supaul (M) - Ward No.1
249595,Katihar,62565,14,Katihar (M Corp.) - Ward No.14
249648,Danapur,1298559,31,Danapur Nizamat (M) - Ward No.31
249675,Rafiganj,1298156,11,Rafiganj (NP) - Ward No.11
249683,Bodh Gaya,36854,14,Bodh Gaya (NP) - Ward No.14
249618,Mahnar,1298272,17,Mahnar Bazar (M) - Ward No.17
249652,Masaurhi,1298602,24,Masaurhi (M) - Ward No.24
249684,Nawada,2792,26,Nawada (M) - Ward No.26
249592,Purnea,35874,24,Purnia (M Corp.) - Ward No.24
249661,Behea,59634,5,Behea (NP) - Ward No.5
249593,Kasba,35880,2,Kasba (NP) - Ward No.2
249566,Sugauli,1299138,12,Sugauli (NP) - Ward No.12
249597,Madhepura,35906,10,Madhepura (M) - Ward No.10
249663,Piro,36661,5,Piro (NP) - Ward No.5
249653,Fatuha,1298610,20,Fatwah (M) - Ward No.20
249618,Mahnar,36138,1,Mahnar Bazar (M) - Ward No.1
290059,Sursand,1306786,12,Sursand(NP)-Ward No.12
249665,Buxar,1298795,33,Buxar (M) - Ward No.33
249651,Phulwari Sharif,1298582,26,Phulwari Sharif (M) - Ward No.26
277130,Teghara,1299383,24,Bakhri (NP) - Ward No.24
249613,Marhaura,36084,5,Marhaura (NP) - Ward No.5
249680,Gaya,1298809,51,Gaya (M Corp.) - Ward No.51
249608,Siwan,36013,15,Siwan (M) - Ward No.15
249617,Hajipur,1299154,26,Hajipur (M) - Ward No.26
249673,Makhdumpur,36781,4,Makhdumpur (NP) - Ward No.4
249651,Phulwari Sharif,1298569,13,Phulwari Sharif (M) - Ward No.13
249568,Motihari,1299074,31,Motihari (M) - Ward No.31
249593,Kasba,35884,6,Kasba (NP) - Ward No.6
249611,Rivilganj,1298436,17,Revilganj (NP) - Ward No.17
249678,Nabinagar,36822,4,Nabinagar (NP) - Ward No.4
249622,Rosera,36185,13,Rosera (NP) - Ward No.13
249643,Hilsa,36358,2,Hilsa (NP) - Ward No.2
249560,Ramnagar,1298420,11,Ramnagar (NP) - Ward No.11
253219,sahebganj,71908,13,Sahebganj (NP) - Ward No.13
249592,Purnea,35851,1,Purnia (M Corp.) - Ward No.1
249679,Tekari,36835,8,Tikari (NP) - Ward No.8
249687,Jamui,59995,10,Jamui (M) - Ward No.10
276406,BARSOI,1299460,7,Barsoi (NP) - Ward No.7
249642,Biharsharif,59521,8,Bihar (M) - Ward No.8
249635,Jamalpur,59508,20,Jamalpur (M) - Ward No.20
249560,Ramnagar,62506,3,Ramnagar (NP) - Ward No.3
249563,Chanpatia,1299061,13,Chanpatia (NP) - Ward No.13
249673,Makhdumpur,36786,9,Makhdumpur (NP) - Ward No.9
249575,Sitamarhi,35658,3,Sitamarhi (M) - Ward No.3
249629,Sultanganj,5948,15,Sultanganj (NP) - Ward No.15
249651,Phulwari Sharif,1298580,24,Phulwari Sharif (M) - Ward No.24
249567,Dhaka,35600,6,Dhaka (NP) - Ward No.6
249658,Shahpur,36628,1,Shahpur (NP) - Ward No.1
277103,Barbigha,1299279,9,Barbigha (M) - Ward No.9
249641,Sheikhpura,1299261,18,Sheikhpura (M) - Ward No.18
249634,Munger,1299233,38,Munger (M Corp.) - Ward No.38
249566,Sugauli,1299139,13,Sugauli (NP) - Ward No.13
249575,Sitamarhi,35663,8,Sitamarhi (M) - Ward No.8
249568,Motihari,1299065,22,Motihari (M) - Ward No.22
249645,Rajgir,4906,14,Rajgir (NP) - Ward No.14
249641,Sheikhpura,1299260,17,Sheikhpura (M) - Ward No.17
249568,Motihari,35602,2,Motihari (M) - Ward No.2
249604,Kataiya,1298989,7,Kataiya (NP) - Ward No.7
249618,Mahnar,1298271,16,Mahnar Bazar (M) - Ward No.16
249599,Saharsa,59367,13,Saharsa (M) - Ward No.13
249642,Biharsharif,59531,18,Bihar (M) - Ward No.18
277127,Pakri Dayal,1298142,6,Pakridayal (NP) - Ward No.6
249675,Rafiganj,36795,2,Rafiganj (NP) - Ward No.2
249658,Shahpur,1298446,11,Shahpur (NP) - Ward No.11
249586,Forbesganj,35772,12,Forbesganj (M) - Ward No.12
