Local Body Code,Local Body Name,Local Body Type,District Level Parent Name,Intermediate Level Parent Name,Ward Code,Ward Number,Ward Name,Ward Name (In Local),
234497,BASANTIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463306,6,Govindapur-2,
234497,BASANTIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463307,7,Govindapur-3,
234497,BASANTIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463308,8,Basantipur,
234498,CHAINPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463309,1,Chainpur-1,
234498,CHAINPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463310,2,Chainpur-2,
234498,CHAINPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463311,3,Chainpur-3,
234498,CHAINPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463312,4,Chainpur-4,
234498,CHAINPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463313,5,Hanspuri-1,
234498,CHAINPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463314,6,Hanspuri-2,
234498,CHAINPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463315,7,Pudumadurai-1,
234498,CHAINPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463316,8,Pudumadurai-2,
234499,HARINAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463317,1,Harinagar-1,
234499,HARINAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463318,2,Harinagar-2,
234499,HARINAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463319,3,Harinagar-3,
234499,HARINAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463320,4,Harinagar-4,
234499,HARINAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463321,5,Harinagar-5,
234499,HARINAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463322,6,Harinagar-6,
234499,HARINAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463323,7,Pinakinagar-1,
234499,HARINAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463324,8,Pinakinagar-2,
234499,HARINAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463325,9,Jaipur-1,
234499,HARINAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463326,10,Jaipur-2,
234499,HARINAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463327,11,Kamlapur,
234500,MAYABUNDER,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463328,1,Mayabunder-1,
234500,MAYABUNDER,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463329,2,Mayabunder-2,
234500,MAYABUNDER,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463330,3,Mayabunder-3,
234500,MAYABUNDER,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463331,4,Mayabunder-4,
234500,MAYABUNDER,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463332,5,Mayabunder-5,
234500,MAYABUNDER,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463333,6,Mayabunder-6,
234500,MAYABUNDER,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463334,7,Mayabunder-7,
234500,MAYABUNDER,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463335,8,Mayabunder-8,
234500,MAYABUNDER,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463336,9,Mayabunder-9,
234500,MAYABUNDER,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463337,10,Mayabunder-10,
234500,MAYABUNDER,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463338,11,Mayabunder-11,
234501,PAHALGAON,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463571,1,Pahalgaon-1,
234501,PAHALGAON,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463572,2,Pahalgaon-2,
234501,PAHALGAON,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463573,3,Pahalgaon-3,
