Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name
272883,Kattappana,1293938,2,Nirmala City - Ward No. 2
252231,Kothamangalam,76081,17,CHURCH
252208,Angamaly,1294993,30,PEECHANIKADU
252175,Ottappalam,1294298,35,VEETTAAMPARA
252252,Pathanamthitta,76729,5,Pathanamthitta (M) - Ward No.5
252112,Taliparamba,49339,5,NHATTU VAYAL
252157,Vatakara,49846,34,MOORADU
252250,Mavelikkara,76651,11,Mavelikkara (M) - Ward No.11
272907,Mannarkad,1294475,16,Thorapuram
252230,Muvattupuzha,76051,10,PERUMATTOM
252173,Ponnani,76421,24,FISHERIES SCHOOL
272896,Payyoli,1294839,12,Kuttiyil Peedika
252258,Attingal,50081,15,VALIYAKUNNU
252204,Irinjalakuda,76691,19,Market
272898,Mukkom,1294809,20,Pulpparambu
252111,Payyannur,76276,18,KOKKINISSERI
252155,Kalpetta,49812,15,PUTHIYA BUS STAND
252125,Kannur,49697,20,Kappad
252224,Kalamassery,49597,25,CHANGAMPUZHA NAGAR
272912,Parappanangadi,1295292,9,Ullanam Town
252255,Kollam,78059,51,Thirumullavaram
252111,Payyannur,76273,15,CHITTARIKKOVVAL
272906,Cherpulassery,1294500,12,Kacherikkunnu
252108,Kasaragod,76305,15,KOLLAMPADY
252247,Alappuzha,77885,39,Alappuzha (M) - Ward No.39
252200,Kodungallur,77999,10,Kanakkankadavu
272906,Cherpulassery,1294494,6,Karalmanna
272905,Pattambi,1294446,15,Lovely
252204,Irinjalakuda,76683,11,Police Station
252260,Thiruvananthapuram,56366,12,Kinavoor(M Corp.) - Ward No.12
272908,Pandalam,1294720,11,Kadaykkad East
272905,Pattambi,1294451,20,Pattambi Town
272896,Payyoli,1294849,22,Bhajana Madam
252257,Varkala,50043,4,Varkala (M) - Ward No.4
272906,Cherpulassery,1294512,24,Secretary Padi
252155,Kalpetta,75682,16,PULPAARA
252157,Vatakara,49839,27,CHEENAM VEEDU
252224,Kalamassery,49585,13,KURUPRA
272880,Harippad,1305417,19,Mambara
252170,Malappuram,77570,29,KONNOMPARA
252227,Thrippunithura,1294636,37,STATUE
272892,Erattupetta,1293813,12,Pathazha padi - Ward No. 12
252110,Kanhangad,76237,10,ADAMBIL
252242,Cherthala,77774,23,Cherthala (M) - Ward No.23
272911,Sulthanbathery,1294597,1,Aram Mile
272889,Kottarakkara,1294397,16,Velakkonam
272883,Kattappana,1293968,32,Kalyanath - Ward No. 32
252220,Kochi,77623,56,Panampilly Nagar
252251,Thiruvalla,77964,9,Thiruvalla (M) - Ward No.9
252159,koyilandy,56282,24,MARATHOOR
272899,Ramanattukara,1294867,4,Farooq College
272912,Parappanangadi,1295314,31,NCC Road
252207,Perumbavoor,1294897,24,VALLOM THODU
272909,Wadakkanchery,1293927,33,Ambalapuram
272911,Sulthanbathery,1294618,22,Fairland
252181,Chavakkad,1293851,30,Puthiyara
252200,Kodungallur,1293846,42,Karur
272905,Pattambi,1294459,28,Valloor Center
252149,Thalassery,56166,25,KODIYERI WEST
252218,Eloor,1294995,17,TOWN SHIP
252220,Kochi,77612,45,Thammanam
252218,Eloor,1294998,20,KOTTAKUNNU
252256,Paravoor,1294413,29,KALLUMKUNNU
252252,Pathanamthitta,1294336,31,Pathanamthitta (M) - Ward No.31
252181,Chavakkad,77915,17,Kozhikulangara
252261,Neyyattinkara,50287,9,MUTTAYKKADU
252157,Vatakara,49821,9,KOTTAPPARAMBA
252184,Guruvayoor,76577,20,Pancharamucku
252238,Kottayam,76210,33,CHETTIKUNNU (PAKKIL) - Ward No.33
272897,Koduvally,1294774,32,Anappara
252242,Cherthala,77760,9,Cherthala (M) - Ward No.9
252184,Guruvayoor,76569,12,Palayoor
272889,Kottarakkara,1294402,21,Neeleswaram
272909,Wadakkanchery,1293896,2,Puthuruthy Center
252251,Thiruvalla,78051,26,Thiruvalla (M) - Ward No.26
252259,Nedumangad,50248,1,KALLUVARAMBU
252181,Chavakkad,77903,5,Punna North
252155,Kalpetta,49804,7,KAINATTY
252227,Thrippunithura,1294645,46,PISHARIKOVIL
252247,Alappuzha,77868,22,Alappuzha (M) - Ward No.22
252231,Kothamangalam,76090,26,KARUKADAM
252173,Ponnani,76435,38,PARANGIVALAPPU
272903,Tirurangadi,1295379,7,Manippadam
252205,Chalakudy,76717,23,ITI
252111,Payyannur,76324,30,KELOTH SOUTH
252239,Changanassery,77699,3,POOVAKKATTUCHIRA- Ward No.3
252159,koyilandy,56280,22,KAVUM VATTAM
252205,Chalakudy,76718,24,I.R.M.L.P School
252110,Kanhangad,76254,27,PADANNAKAD
252255,Kollam,56002,42,Mundakkal
252170,Malappuram,56353,18,KOTTAPPADI
252176,Palakkad,77851,39,NURANI
252250,Mavelikkara,76658,18,Mavelikkara (M) - Ward No.18
272908,Pandalam,1294733,24,Puzhikkadu
252174,Shoranur,1294276,29,MANJAKKAD
252253,Adoor,76762,12,Adoor (M) - Ward No.12
252239,Changanassery,77697,1,KANNAMPEROOR - Ward No.1
252255,Kollam,56001,41,Thekkevila
272910,Mananthavady,1294578,18,Thannikkal
252233,Thodupuzha,76102,12,KAROOPPARA- Ward No.12
252125,Kannur,49690,13,Sadhulipalli
252231,Kothamangalam,76080,16,AMBALAPARAMBU
252220,Kochi,77621,54,Elamkualam
272904,Tanur,1295336,8,Kunnumpuram South
252239,Changanassery,77742,23,PERUNNA WEST - Ward No.23
252231,Kothamangalam,1294824,28,VENDUVAZHI NORTH
272884,Sreekandapuram,1294204,29,Peruvanji
252112,Taliparamba,49356,22,KAKKANCHAL
252227,Thrippunithura,76008,16,KARINGACHIRA
